Exponent,Support,Constraints,Power Divergence,Dataset
0.83,0.02,0.0,0.329347228027709,53
0.83,0.02,3.0,0.5284293601518307,51
0.83,0.02,0.0,9.817417819069863,32
0.83,0.018000000000000002,2.0,12.747364396073312,43
0.83,0.015,0.0,0.20484090175221645,55
0.83,0.013000000000000001,0.0,0.37169924523931336,31
0.83,0.018000000000000002,0.0,1.8985201955108832,30
0.83,0.018000000000000002,0.0,1.8227797693607015,56
0.83,0.015,1.0,3.4094752416866787,29
0.83,0.018000000000000002,0.0,0.37337029738044897,57
0.83,0.015,3.0,3.1718844226937404,28
0.83,0.017,0.0,0.1909246847388379,58
0.83,0.02,0.0,3.2069768694084546,27
0.83,0.02,2.0,0.4335618330581989,59
0.83,0.013000000000000001,0.0,5.204023044332887,26
0.83,0.015,0.0,0.9764618404803684,54
0.83,0.018000000000000002,0.0,3.2870946419478693,35
0.83,0.017,2.0,1.5331193201046884,34
0.83,0.018000000000000002,1.0,0.4083348651447478,46
0.83,0.017,0.0,0.34730638437877565,48
0.83,0.018000000000000002,0.0,0.6932201837102336,45
0.83,0.018000000000000002,1.0,0.29002384724831604,47
0.83,0.017,0.0,2.3163891840767468,37
0.83,0.02,0.0,0.47857780240895204,44
0.83,0.013000000000000001,4.0,11.490807396579015,38
0.83,0.018000000000000002,1.0,3.0421157053102115,42
0.83,0.017,1.0,13.135566543628464,39
0.83,0.003,151.0,8.005214260031183,40
0.83,0.02,0.0,0.33180072984780073,36
0.83,0.018000000000000002,0.0,0.2537563596690539,50
0.83,0.018000000000000002,0.0,0.3036381110196366,49
0.83,0.018000000000000002,0.0,2.7852142447947092,41
1.25,0.009000000000000001,0.0,0.5032538192189042,45
1.25,0.006,1.0,2.80769489123838,40
1.25,0.009000000000000001,0.0,0.17385110541602586,57
1.25,0.01,0.0,1.2011056775612148,28
1.25,0.009000000000000001,0.0,0.11551380935046765,50
1.25,0.01,0.0,1.9030641571888696,29
1.25,0.009000000000000001,2.0,1.9282989738229337,27
1.25,0.009000000000000001,0.0,0.32129564181978265,44
1.25,0.01,0.0,0.17758445572531206,59
1.25,0.009000000000000001,0.0,3.3355786842824546,26
1.25,0.009000000000000001,0.0,0.9629626340608264,42
1.25,0.01,0.0,2.2799250541901284,43
1.25,0.009000000000000001,0.0,0.8606321564945092,41
1.25,0.01,0.0,0.1551983387504861,58
1.25,0.006,0.0,0.6023096551310789,30
1.25,0.008,0.0,0.11176377630398586,46
1.25,0.01,0.0,0.1728365827984083,51
1.25,0.008,1.0,0.7920804242164221,34
1.25,0.006,0.0,0.10716845274678664,36
1.25,0.01,0.0,0.11234192201166328,49
1.25,0.01,0.0,0.10541574544116254,52
1.25,0.009000000000000001,0.0,0.8995709426687566,33
1.25,0.01,1.0,1.221080390694696,37
1.25,0.009000000000000001,0.0,0.2148365039628318,48
1.25,0.01,0.0,0.18324527204101826,53
1.25,0.008,3.0,3.610878064796263,32
1.25,0.01,0.0,2.0624965964409614,38
1.25,0.01,0.0,0.5678679942243601,54
1.25,0.01,1.0,0.3346166132805121,31
1.25,0.009000000000000001,0.0,0.2072339545080841,47
1.25,0.008,0.0,0.0994922927392692,55
1.25,0.01,0.0,1.2836394993223774,35
1.25,0.01,2.0,16.287016642012038,39
1.25,0.009000000000000001,0.0,0.5962886507615673,56
1.25,0.01,0.0,0.23896807333506356,60
