,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
410,7,1,0,0,0,0,28
411,7,2,0,0,0,13,28
412,7,3,0,0,0,89,28
413,7,4,0,0,0,77,28
414,7,5,0,0,0,0,28
415,10,1,0,0,0,0,28
416,10,2,0,0,0,1,28
417,10,3,0,0,0,955,28
418,10,4,0,0,0,926,28
419,10,5,0,0,0,912,28
420,4,1,0,0,0,0,29
421,4,2,1,0,1,0,29
422,4,3,0,0,0,5,29
423,4,4,2,0,2,1,29
424,4,5,0,0,0,2,29
425,7,1,0,0,0,0,29
426,7,2,0,0,0,0,29
427,7,3,0,0,0,92,29
428,7,4,0,0,0,7,29
429,7,5,0,0,0,0,29
430,10,1,0,0,0,0,29
431,10,2,0,0,0,0,29
432,10,3,0,0,0,946,29
433,10,4,0,0,0,931,29
434,10,5,0,0,0,913,29
435,4,1,0,0,0,0,30
436,4,2,0,0,0,0,30
437,4,3,5,0,5,2,30
438,4,4,2,0,2,0,30
439,4,5,0,0,0,2,30
440,7,1,0,0,0,0,30
441,7,2,0,0,0,0,30
442,7,3,0,0,0,91,30
443,7,4,0,0,0,88,30
444,7,5,0,0,0,0,30
445,10,1,0,0,0,0,30
446,10,2,0,0,0,1,30
447,10,3,128,0,128,820,30
448,10,4,0,0,0,938,30
449,10,5,0,0,0,917,30
450,4,1,0,0,0,0,31
451,4,2,5,0,5,0,31
452,4,3,7,0,7,0,31
453,4,4,0,0,0,2,31
454,4,5,0,0,0,2,31
455,7,1,0,0,0,0,31
456,7,2,0,0,0,4,31
457,7,3,0,0,0,86,31
458,7,4,0,0,0,78,31
459,7,5,0,0,0,0,31
460,10,1,0,0,0,0,31
461,10,2,0,0,0,0,31
462,10,3,0,0,0,447,31
463,10,4,0,0,0,438,31
464,10,5,0,0,0,928,31
465,4,1,0,0,0,0,32
466,4,2,0,0,0,0,32
467,4,3,0,0,0,4,32
468,4,4,0,0,0,2,32
469,4,5,0,0,0,3,32
470,7,1,0,0,0,0,32
471,7,2,0,0,0,0,32
472,7,3,0,0,0,87,32
473,7,4,0,0,0,88,32
474,7,5,0,0,0,0,32
475,10,1,0,0,0,0,32
476,10,2,0,0,0,0,32
477,10,3,0,0,0,450,32
478,10,4,0,0,0,941,32
479,10,5,0,0,0,923,32
480,4,1,0,0,0,0,33
481,4,2,0,0,0,0,33
482,4,3,0,0,0,6,33
483,4,4,2,0,2,1,33
484,4,5,1,0,1,0,33
485,7,1,0,0,0,0,33
486,7,2,0,0,0,0,33
487,7,3,0,0,0,89,33
488,7,4,0,0,0,90,33
489,7,5,0,0,0,0,33
490,10,1,0,0,0,0,33
491,10,2,0,0,0,0,33
492,10,3,0,0,0,202,33
493,10,4,0,0,0,929,33
494,10,5,0,0,0,913,33
495,4,1,0,0,0,0,34
496,4,2,0,0,0,0,34
497,4,3,1,0,1,0,34
498,4,4,0,0,0,5,34
499,4,5,0,0,0,2,34
500,7,1,0,0,0,0,34
501,7,2,0,0,0,0,34
502,7,3,0,0,0,90,34
503,7,4,0,0,0,76,34
504,7,5,0,0,0,0,34
505,10,1,0,0,0,0,34
506,10,2,0,0,0,0,34
507,10,3,0,0,0,948,34
508,10,4,0,0,0,935,34
509,10,5,0,0,0,914,34
510,4,1,0,0,0,0,35
