,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
304,4,5,0,0,0,0,21
305,7,1,0,0,0,0,21
306,7,2,0,0,0,0,21
307,7,3,21,11,10,2,21
308,7,4,109,36,73,9,21
309,7,5,0,0,0,0,21
310,10,1,0,0,0,0,21
311,10,2,0,0,0,0,21
312,10,3,983,56,927,17,21
313,10,4,977,68,909,20,21
314,10,5,980,85,895,25,21
315,4,1,0,0,0,0,22
316,4,2,3,0,3,2,22
317,4,3,0,0,0,1,22
318,4,4,5,0,5,0,22
319,4,5,4,0,4,0,22
320,7,1,0,0,0,0,22
321,7,2,0,0,0,3,22
322,7,3,96,23,73,17,22
323,7,4,96,23,73,11,22
324,7,5,0,0,0,0,22
325,10,1,0,0,0,0,22
326,10,2,0,0,0,0,22
327,10,3,484,38,446,10,22
328,10,4,983,67,916,16,22
329,10,5,971,86,885,29,22
330,4,1,0,0,0,0,23
331,4,2,6,0,6,0,23
332,4,3,2,1,1,0,23
333,4,4,3,0,3,0,23
334,4,5,1,0,1,0,23
335,7,1,0,0,0,0,23
336,7,2,0,0,0,3,23
337,7,3,109,22,87,8,23
338,7,4,106,21,85,2,23
339,7,5,0,0,0,0,23
340,10,1,0,0,0,0,23
341,10,2,0,0,0,0,23
342,10,3,484,41,443,11,23
343,10,4,977,73,904,24,23
344,10,5,966,88,878,33,23
345,4,1,0,0,0,0,24
346,4,2,0,0,0,0,24
347,4,3,3,0,3,1,24
348,4,4,0,0,0,3,24
349,4,5,2,0,2,0,24
350,7,1,0,0,0,0,24
351,7,2,0,0,0,0,24
352,7,3,103,27,76,9,24
353,7,4,98,26,72,9,24
354,7,5,0,0,0,0,24
355,10,1,0,0,0,0,24
356,10,2,51,21,30,2,24
357,10,3,971,58,913,27,24
358,10,4,940,71,869,54,24
359,10,5,962,86,876,41,24
360,4,1,0,0,0,0,25
361,4,2,0,0,0,3,25
362,4,3,0,0,0,2,25
363,4,4,0,0,0,6,25
364,4,5,0,0,0,2,25
365,7,1,0,0,0,0,25
366,7,2,0,0,0,0,25
367,7,3,109,20,89,5,25
368,7,4,48,19,29,2,25
369,7,5,0,0,0,0,25
370,10,1,0,0,0,0,25
371,10,2,0,0,0,0,25
372,10,3,997,42,955,7,25
373,10,4,484,43,441,9,25
374,10,5,989,79,910,7,25
375,4,1,0,0,0,0,26
376,4,2,0,0,0,0,26
377,4,3,0,0,0,2,26
378,4,4,0,0,0,2,26
379,4,5,2,0,2,0,26
380,7,1,0,0,0,0,26
381,7,2,1,1,0,0,26
382,7,3,112,17,95,2,26
383,7,4,95,18,77,11,26
384,7,5,0,0,0,0,26
385,10,1,0,0,0,0,26
386,10,2,0,0,0,2,26
387,10,3,982,48,934,17,26
388,10,4,955,74,881,40,26
389,10,5,973,79,894,27,26
390,4,1,0,0,0,0,27
391,4,2,0,0,0,0,27
392,4,3,0,0,0,3,27
393,4,4,1,0,1,1,27
394,4,5,2,0,2,0,27
395,7,1,0,0,0,0,27
396,7,2,0,0,0,3,27
397,7,3,106,27,79,9,27
398,7,4,102,27,75,11,27
399,7,5,0,0,0,0,27
400,10,1,0,0,0,0,27
401,10,2,0,0,0,0,27
402,10,3,984,53,931,17,27
403,10,4,975,77,898,31,27
404,10,5,972,83,889,29,27
405,4,1,0,0,0,0,28
406,4,2,3,0,3,1,28
407,4,3,0,0,0,2,28
408,4,4,3,0,3,0,28
409,4,5,3,0,3,0,28
410,7,1,0,0,0,0,28
411,7,2,21,8,13,0,28
412,7,3,102,20,82,7,28
413,7,4,105,32,73,4,28
414,7,5,0,0,0,0,28
415,10,1,0,0,0,0,28
416,10,2,0,0,0,1,28
417,10,3,989,49,940,15,28
418,10,4,966,71,895,31,28
419,10,5,966,96,870,42,28
420,4,1,0,0,0,0,29
421,4,2,3,2,1,0,29
422,4,3,0,0,0,5,29
423,4,4,2,0,2,1,29
424,4,5,0,0,0,2,29
425,7,1,0,0,0,0,29
426,7,2,0,0,0,0,29
427,7,3,105,18,87,5,29
428,7,4,19,13,6,1,29
429,7,5,0,0,0,0,29
430,10,1,0,0,0,0,29
431,10,2,0,0,0,0,29
432,10,3,989,55,934,12,29
433,10,4,971,68,903,28,29
434,10,5,976,86,890,23,29
435,4,1,0,0,0,0,30
436,4,2,0,0,0,0,30
437,4,3,5,0,5,2,30
438,4,4,2,0,2,0,30
439,4,5,0,0,0,2,30
440,7,1,0,0,0,0,30
441,7,2,0,0,0,0,30
442,7,3,99,20,79,12,30
443,7,4,102,22,80,8,30
444,7,5,0,0,0,0,30
445,10,1,0,0,0,0,30
446,10,2,0,0,0,1,30
447,10,3,963,45,918,30,30
448,10,4,961,58,903,35,30
449,10,5,956,79,877,40,30
450,4,1,0,0,0,0,31
451,4,2,5,0,5,0,31
452,4,3,7,0,7,0,31
453,4,4,0,0,0,2,31
454,4,5,0,0,0,2,31
455,7,1,0,0,0,0,31
456,7,2,0,0,0,4,31
457,7,3,108,28,80,6,31
458,7,4,97,30,67,11,31
459,7,5,0,0,0,0,31
460,10,1,0,0,0,0,31
461,10,2,0,0,0,0,31
462,10,3,482,48,434,13,31
463,10,4,483,60,423,15,31
464,10,5,990,75,915,13,31
465,4,1,0,0,0,0,32
466,4,2,0,0,0,0,32
467,4,3,0,0,0,4,32
468,4,4,0,0,0,2,32
469,4,5,0,0,0,3,32
470,7,1,0,0,0,0,32
471,7,2,0,0,0,0,32
472,7,3,92,17,75,12,32
473,7,4,113,31,82,6,32
474,7,5,0,0,0,0,32
475,10,1,0,0,0,0,32
476,10,2,0,0,0,0,32
477,10,3,480,39,441,9,32
478,10,4,982,55,927,14,32
479,10,5,980,85,895,28,32
480,4,1,0,0,0,0,33
481,4,2,0,0,0,0,33
482,4,3,0,0,0,6,33
483,4,4,2,0,2,1,33
484,4,5,1,0,1,0,33
485,7,1,0,0,0,0,33
486,7,2,0,0,0,0,33
487,7,3,99,24,75,14,33
488,7,4,107,26,81,9,33
489,7,5,0,0,0,0,33
490,10,1,0,0,0,0,33
491,10,2,0,0,0,0,33
492,10,3,228,33,195,7,33
493,10,4,976,64,912,17,33
494,10,5,971,85,886,27,33
495,4,1,0,0,0,0,34
496,4,2,0,0,0,0,34
497,4,3,2,1,1,0,34
498,4,4,0,0,0,5,34
499,4,5,0,0,0,2,34
500,7,1,0,0,0,0,34
501,7,2,0,0,0,0,34
502,7,3,106,22,84,6,34
503,7,4,96,29,67,9,34
504,7,5,0,0,0,0,34
505,10,1,0,0,0,0,34
506,10,2,1,1,0,0,34
507,10,3,968,50,918,30,34
508,10,4,966,65,901,34,34
