index,#_diseases,dataset_num,file_num,sup_num,constraints,support,kl_div,js_div,pow_div
9534,18,9,5,7,19,0.0168,0.2824878259676556,0.24854536156242943,0.7207875508740491
9535,18,9,5,8,19,0.0194,0.2824878259676556,0.24854536156242943,0.7207875508740491
9536,18,9,5,9,19,0.022,0.2824878259676556,0.24854536156242943,0.7207875508740491
9537,18,9,5,10,19,0.0247,0.2824878259676556,0.24854536156242943,0.7207875508740491
9538,18,9,5,11,19,0.0273,0.2824878259676556,0.24854536156242943,0.7207875508740491
9539,18,9,5,12,19,0.03,0.2824878259676556,0.24854536156242943,0.7207875508740491
9540,18,9,6,1,84,0.001,0.703558335390265,0.3580930147178877,5.264122065407184
9541,18,9,6,2,84,0.0036,0.703558335390265,0.3580930147178877,5.264122065407184
9542,18,9,6,3,51,0.0062,0.5899824140652303,0.3468353897227173,2.093966937592138
9543,18,9,6,4,51,0.0089,0.5899824140652303,0.3468353897227173,2.093966937592138
9544,18,9,6,5,58,0.0115,0.5152550901736977,0.33068146032281,1.9870737237204896
9545,18,9,6,6,58,0.0141,0.5152550901736977,0.33068146032281,1.9870737237204896
9546,18,9,6,7,33,0.0168,0.5817162886293885,0.3465570567858103,1.9586969766010798
9547,18,9,6,8,21,0.0194,0.5836497863087758,0.3532482355321662,1.6551308998377288
9548,18,9,6,9,21,0.022,0.5836497863087758,0.3532482355321662,1.6551308998377288
9549,18,9,6,10,19,0.0247,0.5728582790680476,0.34681307589476446,1.6526662890050006
9550,18,9,6,11,19,0.0273,0.5728582790680476,0.34681307589476446,1.6526662890050006
9551,18,9,6,12,19,0.03,0.5728582790680476,0.34681307589476446,1.6526662890050006
9552,18,9,7,1,110,0.001,0.5407977929127787,0.3306113000331088,2.797099987313409
9553,18,9,7,2,110,0.0036,0.5407977929127787,0.3306113000331088,2.797099987313409
9554,18,9,7,3,80,0.0062,0.4365431782280235,0.29223374975691496,2.411662330592372
9555,18,9,7,4,80,0.0089,0.4365431782280235,0.29223374975691496,2.411662330592372
9556,18,9,7,5,57,0.0115,0.35846590682176016,0.2594470192846594,1.915469983812744
9557,18,9,7,6,57,0.0141,0.35846590682176016,0.2594470192846594,1.915469983812744
9558,18,9,7,7,90,0.0168,0.30029958112417876,0.24230256040249032,2.1665768461783905
9559,18,9,7,8,48,0.0194,0.31911630500318205,0.24655528620221198,1.6087426519310173
9560,18,9,7,9,48,0.022,0.31911630500318205,0.24655528620221198,1.6087426519310173
9561,18,9,7,10,26,0.0247,0.31577657728722036,0.25489272636813487,1.022238256618565
9562,18,9,7,11,26,0.0273,0.31577657728722036,0.25489272636813487,1.022238256618565
9563,18,9,7,12,21,0.03,0.29255626163517323,0.25829210994394863,0.7773282384263197
9564,18,9,8,1,54,0.001,0.5205904225910004,0.3101011930393652,3.078333263953109
9565,18,9,8,2,54,0.0036,0.5205904225910004,0.3101011930393652,3.078333263953109
9566,18,9,8,3,50,0.0062,0.523410507788263,0.29928610656009624,9.648558385864233
9567,18,9,8,4,50,0.0089,0.523410507788263,0.29928610656009624,9.648558385864233
9568,18,9,8,5,27,0.0115,0.5080802399484697,0.295310851956136,3.3737115375696756
9569,18,9,8,6,27,0.0141,0.5080802399484697,0.295310851956136,3.3737115375696756
9570,18,9,8,7,20,0.0168,0.4717910757743296,0.29873443536205124,1.82409448448697
9571,18,9,8,8,19,0.0194,0.4615266363253416,0.3021582269185574,1.4173250616632207
9572,18,9,8,9,19,0.022,0.4615266363253416,0.3021582269185574,1.4173250616632207
9573,18,9,8,10,19,0.0247,0.4615266363253416,0.3021582269185574,1.4173250616632207
9574,18,9,8,11,19,0.0273,0.4615266363253416,0.3021582269185574,1.4173250616632207
9575,18,9,8,12,19,0.03,0.4615266363253416,0.3021582269185574,1.4173250616632207
9576,18,9,9,1,50,0.001,0.23181560632540704,0.2227154730930182,0.9237248531632976
9577,18,9,9,2,50,0.0036,0.23181560632540704,0.2227154730930182,0.9237248531632976
9578,18,9,9,3,49,0.0062,0.2744204584415448,0.23368647332846687,1.723992438246867
9579,18,9,9,4,49,0.0089,0.2744204584415448,0.23368647332846687,1.723992438246867
9580,18,9,9,5,25,0.0115,0.2669256976205031,0.23459342019415225,0.9104491708276115
9581,18,9,9,6,25,0.0141,0.2669256976205031,0.23459342019415225,0.9104491708276115
